id_series,seriesName
1125,Revenants 
1126,The Witch Hunter 
1127,I Funny 
1128,Treasure Hunters 
1129,Mr. Lemoncello
1130,The Conspiracy of Us 
1131,Mythos Academy 
1132,The Vine Witch 
1133,The Black Witch Chronicles 
1134,The Chronicles of the Deryni 
1135,The Sports Beat 
1136,I Am Not Esther 
1137,Breeds 
1138,The Campus Trilogy 
1139,Goosebumps 
1140,De honderdjarige oorlog 
1141,The Chronicles of the Black Company 
1142,Cirque du Freak 
1143,Black Swan Rising 
1144,The Legend of Drizzt
1145,I Heart 
1146,Darkness Falls 
1147,Alexandria Quartet 
1148,Erast Fandorin Mysteries 
1149,Vampires in America 
1150,Marcus Didius Falco 
1151,Eternal Guardians 
1152,Jack Reacher 
1153,Tao 
1154,The Black Stallion 
1155,Keep Me Still 
1156,Dina 
1157,Blood of Kings 
1158,The Malediction Trilogy 
1159,Hidden Legacy 
1160,The Shadow Game 
1161,A Series of Unfortunate Events
1162,"War and Peace, "
1163,The Accursed Kings 
1164,The Magister Trilogy 
1165,The Persimmon Tree 
1166,The Forsaken 
1167,Dark Heart 
1168,Avoiding 
1169,Deeper Than Desire 
1170,I am a Cat 
1171,Warriors Super Edition 
1172,FBI
1173,Gargantua and Pantagruel 
1174,The Alpha Group 
1175,Druids 
1176,Saving Mars 
1177,The Familiars 
1178,Three Acts of Penance 
1179,Jaded 
1180,Kindrily 
1181,The Very Nearly Honorable League of Pirates 
1182,Fixed 
1183,Broken Love 
1184,Lord Peter Wimsey 
1185,Girl Online 
1186,How to Build a Girl 
1187,Fall Away 
1188,Negotiator Trilogy
1189,Dom Wars 
1190,Breakthrough 
1191,Knights of Black Swan 
1192,Wicked in Wellington 
1193,The Secret History of the World
1194,Hainish Cycle 
1195,Mitford Years 
1196,The Tapestry 
1197,The Coming Collapse
1198,Guntram de Lisle 
1199,The Left Hand of God 
1200,Warriors of Ankh 
1201,Cardcaptor Sakura 
1202,Gaea Trilogy 
1203,Belmont Mansion 
1204,Darkness Before Dawn Trilogy 
1205,Magids 
1206,World of Warcraft 
1207,Cire
1208,Ginny Davis 
1209,Jan Fabel 
1210,Canadian West 
1211,The Rising 
1212,Angel 
1213,The Dark God
1214,Defiance 
1215,Asylum 
1216,MacKinnon
1217,The Lying Game 
1218,The Moonlit Lands 
1219,Moments in Time 
1220,Dark Angels 
1221,The Girl With All the Gifts 
1222,Broken Pieces 
1223,The Untold Stories of Neverland Book 
1224,Nerd 
1225,Marrying Stone 
1226,Corps Security 
1227,More Than 
1228,Blackthorn 
1229,Sevenwaters 
1230,Min kamp 
1231,The Black Angel Chronicles 
1232,Heartstopper 
1233,Chocolate Lovers
1234,Rosemarie Hirte 
1235,Brambly Hedge 
1236,Forgotten Realms
1237,The Boxcar Children 
1238,Folly Island 
1239,Dark Ages of Britain 
1240,Taj Mahal Trilogy 
1241,Oracles of Fire 
1242,Cupcake Diaries 
1243,Elizabeth
1244,Alex Delaware 
1245,Blood Singer 
1246,Partholon 
1247,Nature of Desire 
1248,The Ghost and the Goth 
