,book_id,author_id
3146,426825,19708
3149,7235533,38550
3152,227711,3505
3153,318335,26496
3156,6181,4187
3160,52090,12806
3165,2122,432
3168,34511672,1571853
3170,978098,83003
3173,315578,2939184
3178,338798,5144
3184,228244,133522
3226,17571569,8030427
3233,18498569,7125422
3254,18404427,713
3263,18295858,23613
3281,10813469,2958084
3293,15839322,73977
3296,20975446,7738947
3301,20550167,7091608
3306,8192391,2613
3307,18669536,7087549
3316,17204860,6875794
3318,16139641,6574132
3319,1240662,20248
3321,18485973,4882127
3322,12761827,5130089
3323,19095025,6476625
3324,12351649,4586597
3329,14384,4428
3346,8573632,2839407
3354,12924307,164576
3360,8849382,1217665
3362,9738582,71688
3372,11724850,767547
3381,11808950,4279785
3382,12908877,3353516
3388,11595072,54201
3397,11870085,1406384
3406,11594257,4637369
3409,11112619,4103366
3410,68528,12542
3412,9413044,4384465
3415,8573642,4116488
3416,23316548,20411
3417,95141,54751
3419,16115612,569
3422,6366437,3275
3426,2897258,269069
3428,16047,4007
3430,15753740,7128
3440,21853621,54493
3447,514811,286014
3453,617097,6093739
3460,10098912,4230687
3466,12820793,4343092
3475,256280,1417512
3484,118252,68552
3485,5849,3989
3490,694226,5989103
3497,6033480,359194
3500,15745753,4208569
3503,432020,243395
3510,10830285,4728994
3511,11297376,4607856
3512,12999514,4951964
3517,17181677,6517376
3522,10897866,4666971
3530,12830117,5021072
3535,12394732,1378521
3540,13363270,5014564
3558,25534273,13980964
3562,23281943,8623147
3578,23266378,8596769
3580,20743633,7827599
3583,23305614,6160
3589,18658071,7337010
3590,20649195,6470568
3602,18068907,8660
3603,23009011,8473856
3606,18710209,7359318
3607,17235448,6887772
3612,17185496,543716
3629,19542841,7577278
3631,19547856,7579036
3644,21222015,6200344
3655,4980,2778055
3661,21420189,4192988
3685,9712,13450
3693,148809,4432
3720,1293450,2357
3721,263149,17059
3722,30225,9550
3723,2498983,48192
3726,84146,4430
3727,3373198,375626
3729,2233407,17061
3732,17054826,6578577
3741,18138755,7056140
3743,16006,9885
3744,16033906,24978
3758,3430897,1435883
3762,231914,75603
3765,642460,227048
3779,1157452,153732
3782,1429082,117369
3808,13154150,5365396
3824,20645941,7061349
3825,17260623,2952211
3845,8492768,978484
3847,13642950,2958717
3849,13540215,5774116
3850,18045891,2383
3853,6643090,2995577
3861,11559200,3849415
3885,5820384,2746690
3886,8262461,151973
3910,9305362,4349837
3913,6782412,1122774
3920,5489684,153734
3927,2820533,58846
3930,303200,27206
3944,10896701,4108184
3959,8376729,4061922
3963,12875436,4984399
3969,9776116,3427995
3971,13502238,5181752
3974,12925063,5286855
3978,8768472,4171164
3980,17256217,4800436
3987,6950451,33952
3989,328854,6404
3993,112754,48206
3994,9915,2751
4001,9844,6429
4006,32418,12455
4010,5359,721
4013,24731,1064072
4014,5872,4000
4019,57727,2887
4020,4138,2849
4021,11650,463
4028,1898,1235
4029,11275,3354
4034,420739,16961
4036,4570679,203238
4047,7991200,3465557
4056,15768536,6448939
4071,17163514,2063919
4079,16142151,1023510
4084,17855756,3064305
4092,17469800,6443115
4093,13538992,4175419
4098,13502958,8588
4106,15808474,60177
4108,19486421,10746
4109,12652457,1370283
4111,15985373,4721536
4112,2890090,73149
4114,10577,5858
4121,18710920,9629
4147,19000898,4601681
4151,23524878,5898355
4154,23346335,639491
4157,21457243,26897
4165,693016,27847
4168,17125,10420
4183,270730,2821144
4196,80689,6376
4216,3751593,1598076
4217,17020,10317
4224,10957730,4736939
4226,10118172,4556932
4241,8665876,4143266
4253,8603765,2741432
4260,13448374,5101366
4268,33297,18708
4269,840,552
4273,31487,1194
4274,54209,19109
4279,8167094,509
4280,33418,18800
4282,61661,10538
4287,461104,10542
4288,2141233,1401
4291,10238,6685
4292,131304,10894
4294,4005310,647715
4295,123632,38285
4296,5552,1429989
4301,2272880,1399
4302,2612,1439
4303,11337189,1410
4304,5752,3915
4305,3272165,1387272
4307,126061,14313
4308,21413662,3089156
4310,61539,4735497
4312,1662160,767633
4314,4591,3151
4323,8962,5816
4324,442819,33461
4326,5941233,19954
4327,3567200,99642
4338,59829,625
4344,22324683,5622223
4355,21915986,7324934
4359,22020052,7074846
4361,17306969,5784542
4362,22471294,6452845
4363,19507801,6994731
4365,769255,64364
4367,2081569,944594
4370,9642278,3342174
4371,15645,5031312
4375,25701594,7233168
4381,16153261,4401574
4388,22237681,8118655
4392,18523711,3190846
4393,18781540,7215619
4413,74821,42437
4414,1705697,1161372
4416,776573,12076
4424,116445,14002
4441,50750,28550
4445,6186355,613805
4447,9640626,852078
4465,5404,7051454
4466,1104540,59333
4467,214332,639
4469,824062,46742
4470,8964,5830
4471,1858013,847789
4472,672493,1082290
4474,535494,7491463
4477,556629,1250965
4478,17303,5544
4484,387749,16104262
4486,219919,127901
4488,223838,5107618
4489,56634,6264
4491,95617,6492
4495,3206011,1362751
4498,87665,7014283
4504,821056,13288
4506,407429,27318
4508,29291,14635
4512,174834,29333
4517,191113,33274
4521,293595,5086768
4537,1108124,63244
4544,207802,121585
4551,112080,8361
4554,10108,6599
4558,52251,3012988
4560,84748,932179
4562,844051,6527479
4574,6509143,17082
4576,6550815,4431689
4579,7092507,2274221
4582,6527841,22542
4599,29939353,3528
4608,31287352,202867
4610,31207572,7429243
4617,30256248,5027236
4620,28965131,457300
4624,32148570,178832
4626,30134847,8534434
4627,23308087,4600197
4628,33151805,1063732
4633,33413128,6485178
4634,25489134,13922215
4635,27883214,14137787
4637,110396,63898
4639,226709,1353301
4643,6202108,27212
4648,6534132,70868
4651,3920088,87534
4659,6323474,2871046
4662,6261081,123719
4672,3873328,1651879
4676,22227607,6572969
4678,34371311,8184331
4682,203899,23924
4685,758901,139434
4687,12878300,2865
4688,264892,5822041
4689,233712,19928
4690,358846,205563
4691,91001,52285
4694,300946,38954
4696,157985,6584435
4697,20451634,685523
4700,89959,1048676
4704,54741,30898
4707,49458,7906
4719,13931214,3167424
4733,13642753,5109680
4736,17167084,194243
4739,93575,8734
4741,21718,12504
4742,18214414,383606
4745,3698,2533
4748,1991039,904719
4756,32506,12470
4757,291482,4624490
4763,7869,5293
4765,3764,2565
4778,19494,1411964
4780,2459785,138825
4782,1291211,268199
4806,7238737,3203095
4807,9314304,92650
4808,33727,19005
4812,73385,28574
4830,18475593,1074989
4853,23517137,8551973
4856,13645358,5265998
4869,20359719,266470
4873,23199714,5337983
4880,20693377,7336499
4918,335090,57108
4931,58098,32677
4933,250792,10697
4937,98532,56667
4957,29946,16904
4962,106096,7869
4965,10031,1466
4971,16640,285217
4975,577184,202355
4976,213577,107072
4977,3026017,170658
4980,219563,128454
4981,181428,105764
4982,460069,578
4985,6135633,33502
4989,455933,145946
4992,294924,57462
4994,338069,4735
5015,23367265,5295120
5016,29895106,14469474
5022,107664,32590
5023,171020,99650
5037,9466865,1343790
5044,7716140,3369676
5047,13130990,5756976
5055,185117,107891
5056,26131641,3500
5058,26114523,14220744
5059,29981261,5805694
5061,23203106,5288442
5064,28233082,5763380
5069,25852784,915500
5073,29875363,88506
5079,27252717,1935000
5083,26200563,5725556
5088,13010310,5314499
5093,230852,33919
5095,6043781,38569
5106,828387,41814
5109,30152,3601
5113,49614,27944
5116,7442,3083854
5121,93453,22782
5127,415459,7415
5128,386,220
5131,4953,3371
5146,18431,11111
5148,141452,15590
5149,15807,9780
5156,859694,26656
5161,89723,13388
5163,650775,2995925
5165,207313,6523516
5166,1335019,9494
5169,12923,8131
5170,12948,159
5177,18686810,6571986
5182,20891547,7875736
5183,20518655,7341481
5200,17400970,6431156
5204,22067087,3213942
5209,659600,51304
5212,12384972,5136485
5219,12974770,2919206
5228,11788404,2950094
5234,13069681,4086928
5236,11962848,154791
5239,13262783,11664
5242,11979900,2983974
5244,11721314,4948810
5250,10866233,800187
5251,10049436,2824597
5252,33967732,14135080
5255,1479967,692656
5257,18482979,6554179
5266,10837174,4493935
5270,24985,14032
5271,13120464,5354569
5272,35125,11735
5274,47241,26546
5275,139986,32279
5278,93840,6263
5279,1283716,5088478
5281,64492,36351
5284,6255949,2845502
5286,14031,8550
5287,1140987,70312
5288,62802,35258
5294,26759,14465
5297,14287,8881
5300,224439,131321
5302,9999,6526
5303,522534,617
5307,25200,14164
5308,18185,10983
5309,102030,58917
5310,35206,5775185
5320,6708,4493
5322,116020,10264
5324,35519,20105
5337,20821386,6259
5339,22588093,3431194
5344,20632650,4149342
5349,22046835,5865943
5353,17566943,4517253
5355,22543639,1731936
5360,10485751,1310735
5363,17901769,5763301
5377,24466484,8107261
5392,15802906,3513
5393,17283570,16143
5408,16127238,6561195
5421,15793184,5192116
5425,15781725,6454131
5427,15808466,54450
5435,17900221,7082224
5437,20763881,6175529
5450,16131077,426034
5455,710826,6218
5459,130881,75375
5476,18249280,85545
5477,17302559,15890
5483,8745,5675
5484,240188,6162
5485,400598,49187
5496,146064,23056
5502,54529,3878
5505,80642,5662
5508,107430,21163
5509,920330,72953
5510,12540,7113
5515,46064,7190
5530,18516961,1530940
5592,922118,41762
5601,292314,79787
5602,6514074,66216
5604,6314763,2867696
5610,6114607,527872
5612,57778,28380
5615,72659,41013
5630,133486,40882
5639,6882,957910
5644,541920,38662
5646,19809,11789
5647,25078,14084
5657,109726,15975
5659,53007,29952
5660,109713,29414
5663,449189,26766
5664,68485,11889
5665,220755,90090
5666,165395,23511
5667,38474,10427
5668,23082546,1556719
5677,16842,10229
5684,55096,31095
5688,27208,15248
5689,11230,7287
5693,69864,22515
5702,6580970,125984
5705,7199,3515
5709,10955239,8878
5710,474078,18069
5717,3919080,498980
5720,135048,50416
5725,80534,45852
5727,897461,329782
5730,791345,345873
5731,14257,8869
5732,938105,82608
5734,2159,1452
5735,4477,3078
5736,134958,78035
5744,445747,11682
5756,22820335,8416438
5766,169354,19563
5769,38155,21461
5770,161156,48305
5771,1206073,5062
5776,10302,137261
5778,6572270,243930
5780,93996,30702
5783,80369,1260
5784,16130,9950
5789,91017,52292
5794,972193,172931
5796,40923,23013
5797,29022,16319
5807,26348,6366
5811,3004197,122371
5818,456057,1441
5820,8139321,3159984
5822,241387,67487
5823,290369,4862
5824,722737,2821124
5826,172734,100752
5827,593152,19811
5828,253047,1085845
5831,3412815,107761
5832,290252,6214
5839,58822,9219
5852,48468,22694
5853,129947,6942
5856,12448,7921
5877,20443356,8605
5882,18079492,6177334
5890,7362158,3246397
5894,1032696,23294
5906,25307607,8379774
5975,12439950,5154098
5988,13645069,5833999
5991,13260536,5398571
5995,15989598,739875
5998,15710557,6425045
6019,22674105,634694
6049,11301,61105
6054,116343,15590
6056,95144,4489
6059,57605,32504
6060,122967,6378
6062,11952268,4507090
6064,7933894,758992
6072,9712492,4464118
6076,11364074,4096668
6081,7656231,164576
6087,14935,1265
6115,42778691,18616370
6117,22205,2987
6122,13037689,3342174
6129,8373527,3002235
6138,14743629,4114202
6146,11071466,3351454
6151,8949352,54493
6153,3478,2345
6154,7747263,21911
6163,773276,26181
6165,659469,28709
6166,16048485,6541020
6169,7797874,274533
6171,17607319,6436698
6174,61179,12534
6177,833550,49420
6185,16101018,6561846
6189,11346,3534
6194,15747708,3167424
6196,74406,23129
6205,825081,193
6213,825377,198837
6214,2802316,137902
6220,13662,874602
6226,25190,437669
6229,17789633,6468237
6230,10916,7128
6234,15717721,73977
6235,6690,4273
6238,42909,18062
6246,10025305,150038
6251,237900,10547
6252,97860,16461
6256,16071187,5108399
6257,79936,18540
6261,334818,191976
6262,826585,87184
6264,7938275,153394
6266,150253,59712
6269,13565914,2958084
6281,682751,1435
6282,139417,9550
6297,6050678,13957
6305,150222,86801
6307,457762,26874
6308,489972,77098
6312,14060081,5445209
6313,11627,4379
6314,137110,438
6322,763426,15435
6328,490867,33274
6342,335140,29574
6345,153542,15450
6347,20578940,25422
6348,23002906,313653
6352,1258536,86816
